date,vem_id,merc_id,daily_quantity,merc_brand_code,merc_type_code,machine_type,capacity,scene_code,city_name,merc_sale_price,max_temperature,min_temperature,weather,wind_level,event_name,is_offday,coupon_amount,discount_quantity,is_available,stockout_flag,outage_flag,suspension_flag
2025-01-21,VEM0001,MERC00001,0.0,BRAND0,TYPE0,standard,24,0,西安市,3.0,23.61,18.23,多云,2,无,0,0.0,0,1,0,0,0
2025-01-22,VEM0001,MERC00001,8.0,BRAND0,TYPE0,standard,24,0,西安市,3.0,22.73,16.82,小雨,4,无,0,0.0,0,1,0,0,0
2025-01-23,VEM0001,MERC00001,8.0,BRAND0,TYPE0,standard,24,0,西安市,3.0,20.91,15.14,晴,1,无,0,0.0,0,1,0,0,0
2025-01-24,VEM0001,MERC00001,0.0,BRAND0,TYPE0,standard,24,0,西安市,3.0,24.5,18.98,小雨,2,无,0,0.0,0,1,0,0,0
2025-01-25,VEM0001,MERC00001,0.0,BRAND0,TYPE0,standard,24,0,西安市,3.0,22.68,16.13,多云,2,无,1,0.0,0,1,1,0,0
2025-01-26,VEM0001,MERC00001,5.0,BRAND0,TYPE0,standard,24,0,西安市,3.0,21.29,14.02,多云,4,无,1,0.0,0,1,0,0,0
2025-01-27,VEM0001,MERC00001,0.0,BRAND0,TYPE0,standard,24,0,西安市,3.0,24.05,17.83,晴,4,节假日,0,0.0,0,1,0,0,0
2025-01-28,VEM0001,MERC00001,6.0,BRAND0,TYPE0,standard,24,0,西安市,3.0,24.15,16.93,多云,2,无,0,0.0,0,1,0,0,0
2025-01-29,VEM0001,MERC00001,0.0,BRAND0,TYPE0,standard,24,0,西安市,3.0,23.86,18.21,晴,4,无,0,0.0,0,1,0,0,0
2025-01-30,VEM0001,MERC00001,7.0,BRAND0,TYPE0,standard,24,0,西安市,3.0,20.03,11.18,晴,1,无,0,0.0,0,1,0,0,0
2025-01-31,VEM0001,MERC00001,8.0,BRAND0,TYPE0,standard,24,0,西安市,3.0,21.0,12.39,多云,3,无,0,0.0,0,1,0,0,0
2025-02-01,VEM0001,MERC00001,0.0,BRAND0,TYPE0,standard,24,0,西安市,3.0,23.28,15.95,晴,2,无,1,0.0,0,1,0,0,0
2025-02-02,VEM0001,MERC00001,4.0,BRAND0,TYPE0,standard,24,0,西安市,3.0,20.76,15.08,小雨,1,无,1,0.0,0,1,0,0,0
2025-02-03,VEM0001,MERC00001,0.0,BRAND0,TYPE0,standard,24,0,西安市,3.0,27.92,20.95,晴,1,无,0,0.0,0,1,0,0,0
2025-02-04,VEM0001,MERC00001,5.0,BRAND0,TYPE0,standard,24,0,西安市,3.0,26.01,17.43,小雨,2,无,0,0.0,0,1,0,0,0
2025-02-05,VEM0001,MERC00001,13.0,BRAND0,TYPE0,standard,24,0,西安市,3.0,22.71,16.79,晴,1,节假日,0,0.0,0,1,0,0,0
2025-02-06,VEM0001,MERC00001,0.0,BRAND0,TYPE0,standard,24,0,西安市,3.0,23.6,17.58,小雨,1,无,0,0.0,0,1,0,0,0
2025-02-07,VEM0001,MERC00001,0.0,BRAND0,TYPE0,standard,24,0,西安市,3.0,24.71,18.45,晴,4,无,0,0.0,0,1,0,0,0
2025-02-08,VEM0001,MERC00001,10.0,BRAND0,TYPE0,standard,24,0,西安市,3.0,27.85,19.53,阴,2,无,1,0.0,0,1,0,0,0
2025-02-09,VEM0001,MERC00001,0.0,BRAND0,TYPE0,standard,24,0,西安市,3.0,23.99,18.94,晴,3,无,1,0.0,0,1,0,0,0
2025-02-10,VEM0001,MERC00001,0.0,BRAND0,TYPE0,standard,24,0,西安市,3.0,23.75,15.89,晴,4,无,0,0.0,0,1,0,0,0
2025-02-11,VEM0001,MERC00001,0.0,BRAND0,TYPE0,standard,24,0,西安市,3.0,24.12,16.9,小雨,4,无,0,0.0,0,1,0,0,0
2025-02-12,VEM0001,MERC00001,9.0,BRAND0,TYPE0,standard,24,0,西安市,3.0,21.52,13.39,小雨,4,节假日,0,0.0,0,1,0,0,0
2025-02-13,VEM0001,MERC00001,6.0,BRAND0,TYPE0,standard,24,0,西安市,3.0,23.71,17.21,小雨,3,无,0,0.0,0,1,0,0,0
2025-02-14,VEM0001,MERC00001,0.0,BRAND0,TYPE0,standard,24,0,西安市,3.0,31.39,26.12,晴,3,无,0,0.0,0,1,0,0,0
2025-02-15,VEM0001,MERC00001,8.0,BRAND0,TYPE0,standard,24,0,西安市,3.0,22.09,17.01,多云,1,节假日,1,0.0,0,1,0,0,0
2025-02-16,VEM0001,MERC00001,0.0,BRAND0,TYPE0,standard,24,0,西安市,3.0,25.24,16.83,晴,4,节假日,1,0.0,0,1,0,0,0
