vem_id,merc_id,oracle_expert,oracle_index
VEM0001,MERC00001,ets,0
VEM0001,MERC00002,linear,2
VEM0001,MERC00003,ets,0
VEM0001,MERC00004,ets,0
VEM0001,MERC00005,lightgbm,3
VEM0001,MERC00006,lightgbm,3
VEM0002,MERC00001,croston_tsb,1
VEM0002,MERC00002,dlinear,4
VEM0002,MERC00003,ets,0
VEM0002,MERC00004,ets,0
VEM0002,MERC00005,ets,0
VEM0002,MERC00006,croston_tsb,1
VEM0003,MERC00001,lightgbm,3
VEM0003,MERC00002,ets,0
VEM0003,MERC00003,ets,0
VEM0003,MERC00004,linear,2
VEM0003,MERC00005,croston_tsb,1
VEM0003,MERC00006,croston_tsb,1
VEM0004,MERC00001,lightgbm,3
VEM0004,MERC00002,linear,2
VEM0004,MERC00003,croston_tsb,1
VEM0004,MERC00004,linear,2
VEM0004,MERC00005,ets,0
VEM0004,MERC00006,croston_tsb,1
